
	ON SECURITY SYSTEM WINDOW 
			Wed Oct 17 21:37:37 2018

	ADDED NEW ITEM IN THE SHOP 
		1 COPIES OF CPU
			Wed Oct 17 21:37:50 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 21:38:06 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:38:07 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 21:38:43 2018

	ADDED NEW ITEM IN THE SHOP 
		3 COPIES OF RAM
			Wed Oct 17 21:38:44 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 21:39:06 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:39:07 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 21:39:12 2018

	ADDED NEW ITEM IN THE SHOP 
		3 COPIES OF SPEAKER
			Wed Oct 17 21:39:13 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 21:39:31 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:39:32 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 21:39:43 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:39:47 2018

	IN THE SHOP
		Wed Oct 17 21:39:47 2018

	WENT TO PURCHASE ITEM
		Wed Oct 17 21:39:48 2018

	PURCHASED 1 MONITOR
		Wed Oct 17 21:39:51 2018
			DEPOSITED 236
				NET BALANCE LEFT IN ADMIN ACCOUNT : 4482.539999
	ON THE MAIN SCRREN
		Wed Oct 17 21:39:52 2018

	IN THE SHOP
		Wed Oct 17 21:39:55 2018

	WENT TO PURCHASE ITEM
		Wed Oct 17 21:39:56 2018

	PURCHASED 1 MONITOR
		Wed Oct 17 21:39:58 2018
			DEPOSITED 236
				NET BALANCE LEFT IN ADMIN ACCOUNT : 4718.539999
	ON THE MAIN SCRREN
		Wed Oct 17 21:40:06 2018

	IN THE SHOP
		Wed Oct 17 21:40:07 2018

	WENT TO RETURN ITEM
		Wed Oct 17 21:40:08 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:42:19 2018

	IN THE SHOP
		Wed Oct 17 21:42:20 2018

	WENT TO RETURN ITEM
		Wed Oct 17 21:42:21 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:45:01 2018

	IN THE SHOP
		Wed Oct 17 21:45:03 2018

	WENT TO RETURN ITEM
		Wed Oct 17 21:45:03 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:48:32 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:48:34 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:48:35 2018

	IN THE SHOP
		Wed Oct 17 21:48:36 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:48:38 2018

	ON THE ADMIN PORTAL
		Wed Oct 17 21:48:39 2018

	LOGINED IN THE ADMIN PORTAL
		Wed Oct 17 21:48:55 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 21:48:58 2018

	ON SECURITY SYSTEM WINDOW 
		Wed Oct 17 21:49:01 2018

	ON MODIFICATION OF FILES WINDOW 
		Wed Oct 17 21:49:04 2018

	ON REFRAL FILE WINDOW 
		Wed Oct 17 21:49:06 2018

	ON THE MODIFICATION WINDOW
		Wed Oct 17 21:49:23 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:49:28 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:50:05 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:50:06 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:50:10 2018

	IN THE SHOP
		Wed Oct 17 21:50:11 2018

	WENT TO PURCHASE ITEM
		Wed Oct 17 21:50:11 2018

	PURCHASED 1 MONITOR
		Wed Oct 17 21:50:15 2018
			DEPOSITED 233.639999
				NET BALANCE LEFT IN ADMIN ACCOUNT : 4952.179998
	ON THE MAIN SCRREN
		Wed Oct 17 21:50:19 2018

	IN THE SHOP
		Wed Oct 17 21:50:20 2018

	WENT TO RETURN ITEM
		Wed Oct 17 21:50:21 2018

	RETURNED 1 MONITOR
		Wed Oct 17 21:50:32 2018
			DEBITTED 99
				NET BALANCE LEFT IN ADMIN ACCOUNT : 4853.179998
	ON THE MAIN SCRREN
		Wed Oct 17 21:50:34 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Oct 17 21:50:36 2018

	ON THE MAIN SCRREN
		Wed Oct 17 21:50:51 2018

	ON THE MAIN SCRREN
		Wed Nov 07 17:11:53 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Nov 07 17:11:56 2018

	ON THE MAIN SCRREN
		Wed Nov 07 17:12:42 2018

	IN THE SHOP
		Wed Nov 07 17:12:46 2018

	WENT TO PURCHASE ITEM
		Wed Nov 07 17:13:21 2018

	PURCHASED 1 MONITOR
		Wed Nov 07 17:13:48 2018
			DEPOSITED 236
				NET BALANCE LEFT IN ADMIN ACCOUNT : 5089.179998
	ON THE MAIN SCRREN
		Wed Nov 07 17:14:20 2018

	IN THE SHOP
		Wed Nov 07 17:14:23 2018

	WENT TO RETURN ITEM
		Wed Nov 07 17:14:24 2018

	ON THE MAIN SCRREN
		Wed Nov 07 17:14:39 2018

	IN THE SHOP
		Wed Nov 07 17:14:39 2018

	WENT TO RETURN ITEM
		Wed Nov 07 17:14:39 2018

	ON THE MAIN SCRREN
		Wed Nov 07 17:14:41 2018

	IN THE SHOP
		Wed Nov 07 17:14:41 2018

	WENT TO RETURN ITEM
		Wed Nov 07 17:14:41 2018

	ON THE MAIN SCRREN
		Wed Nov 07 17:14:41 2018

	IN THE SHOP
		Wed Nov 07 17:14:41 2018

	WENT TO RETURN ITEM
		Wed Nov 07 17:14:41 2018

	ON THE MAIN SCRREN
		Wed Nov 07 17:15:02 2018

	IN THE SHOP
		Wed Nov 07 17:15:04 2018

	WENT TO RETURN ITEM
		Wed Nov 07 17:15:05 2018

	RETURNED 1 MONITOR
		Wed Nov 07 17:15:44 2018
			DEBITTED 100
				NET BALANCE LEFT IN ADMIN ACCOUNT : 4989.179998
	ON THE MAIN SCRREN
		Wed Nov 07 17:16:17 2018

	ON THE ADMIN PORTAL
		Wed Nov 07 17:16:20 2018

	FAILED ATTEMPT IN ADMIN PORTAL
		Wed Nov 07 17:16:51 2018

	ON THE MAIN SCRREN
		Wed Nov 07 17:16:52 2018

	ON THE SECRET SCREEN
		Wed Nov 07 17:16:54 2018

	ON THE MAIN SCRREN
		Wed Nov 07 17:16:56 2018

	ON THE ADMIN PORTAL
		Wed Nov 07 17:16:59 2018

	LOGINED IN THE ADMIN PORTAL
		Wed Nov 07 17:17:54 2018

	ON THE MODIFICATION WINDOW
		Wed Nov 07 17:32:49 2018

	ADDED NEW ITEM IN THE SHOP 
		3 COPIES OF LED_TV
			Wed Nov 07 17:33:26 2018

	ON THE MODIFICATION WINDOW
		Wed Nov 07 17:34:39 2018

	ON THE REMOVING WINDOW
		Wed Nov 07 17:34:43 2018

	ON THE MODIFICATION WINDOW
		Wed Nov 07 17:35:18 2018

	ON BANK ACCOUNT WINDOW 
		Wed Nov 07 17:35:25 2018

	ON THE MODIFICATION WINDOW
		Wed Nov 07 17:36:01 2018

	ON THE MODIFICATION WINDOW
		Wed Nov 07 17:37:42 2018

	SEEN THE ITEMS IN THE SHOP
		Wed Nov 07 17:37:46 2018

	ON THE MODIFICATION WINDOW
		Wed Nov 07 17:37:51 2018

	ON BANK ACCOUNT WINDOW 
		Wed Nov 07 17:37:53 2018

	ON THE ACCOUNT DETAILS WINDOW
		Wed Nov 07 17:37:56 2018

	ON BANK ACCOUNT WINDOW 
		Wed Nov 07 17:38:18 2018

	DEPOSITED MONEY IN THE ACCOUNT
		Wed Nov 07 17:38:20 2018

	ON BANK ACCOUNT WINDOW 
		Wed Nov 07 17:38:41 2018

	DEBITTED MONEY FROM THE ACCOUNT
		Wed Nov 07 17:38:43 2018

	ON BANK ACCOUNT WINDOW 
		Wed Nov 07 17:39:02 2018

	ON TRANSACTION DETAIL WINDOW 
		Wed Nov 07 17:39:05 2018

	ON BANK ACCOUNT WINDOW 
		Wed Nov 07 17:39:33 2018

	ON SECURITY SYSTEM WINDOW 
		Wed Nov 07 17:39:37 2018

	ON CHANGE PASSWORD WINDOW 
		Wed Nov 07 17:40:05 2018

	PASSWORD CHANGED THROUGH ADMIN
		Wed Nov 07 17:40:24 2018

	ON CHANGE PASSWORD WINDOW 
		Wed Nov 07 17:40:35 2018

	PASSWORD CHANGED THROUGH ADMIN
		Wed Nov 07 17:41:16 2018

	ON CHANGE QUESTION ANSWER WINDOW 
		Wed Nov 07 17:41:43 2018

	ON HISTORY WINDOW 
		Wed Nov 07 17:41:51 2018

	ON MODIFICATION OF FILES WINDOW 
		Wed Nov 07 17:42:13 2018

	ON REFRAL FILE WINDOW 
		Wed Nov 07 17:42:45 2018

	ON THE MAIN SCRREN
		Wed Nov 07 17:42:52 2018

	ON THE MAIN SCRREN
		Wed Nov 07 17:43:16 2018

	ON THE MAIN SCRREN
		Thu Nov 08 00:41:37 2018

	ON THE MAIN SCRREN
		Thu Nov 08 00:41:44 2018

	ON THE SECRET SCREEN
		Thu Nov 08 00:41:47 2018

	ON THE MAIN SCRREN
		Tue Jul 23 20:09:03 2019

	ON THE MAIN SCRREN
		Wed Jul 24 22:18:17 2019

	ON THE ADMIN PORTAL
		Wed Jul 24 22:18:28 2019

	FAILED ATTEMPT IN ADMIN PORTAL
		Wed Jul 24 22:18:45 2019

	ON THE MAIN SCRREN
		Wed Jul 24 22:18:46 2019

	ON THE ADMIN PORTAL
		Wed Jul 24 22:18:48 2019

	FAILED ATTEMPT IN ADMIN PORTAL
		Wed Jul 24 22:18:57 2019

	ON THE MAIN SCRREN
		Wed Jul 24 22:18:58 2019

	ON THE SECRET SCREEN
		Wed Jul 24 22:18:59 2019

	ON THE MAIN SCRREN
		Wed Jul 24 22:19:01 2019

	ON THE ADMIN PORTAL
		Wed Jul 24 22:19:04 2019

	FAILED ATTEMPT IN ADMIN PORTAL
		Wed Jul 24 22:19:14 2019

	ON THE MAIN SCRREN
		Wed Jul 24 22:19:19 2019

	ON THE SECRET SCREEN
		Wed Jul 24 22:19:22 2019

	ON THE MAIN SCRREN
		Wed Jul 24 22:19:43 2019

	SEEN THE ITEMS IN THE SHOP
		Wed Jul 24 22:19:44 2019

	ON THE MAIN SCRREN
		Wed Jul 24 22:19:47 2019

	IN THE SHOP
		Wed Jul 24 22:19:50 2019

	WENT TO PURCHASE ITEM
		Wed Jul 24 22:19:50 2019

	PURCHASED 10 MONITOR
		Wed Jul 24 22:19:54 2019
			DEPOSITED 2761.199951
				NET BALANCE LEFT IN ADMIN ACCOUNT : 10727.379949
	ON THE MAIN SCRREN
		Wed Jul 24 22:20:14 2019

	ON THE MAIN SCRREN
		Sat Jul 27 16:36:42 2019

	ON THE MAIN SCRREN
		Sat Jul 27 22:38:18 2019

	SEEN THE ITEMS IN THE SHOP
		Sat Jul 27 22:38:25 2019

	ON THE MAIN SCRREN
		Sat Jul 27 22:38:38 2019

	IN THE SHOP
		Sat Jul 27 22:38:40 2019

	WENT TO PURCHASE ITEM
		Sat Jul 27 22:38:42 2019

	PURCHASED 10 MONITOR
		Sat Jul 27 22:38:46 2019
			DEPOSITED 2761.199951
				NET BALANCE LEFT IN ADMIN ACCOUNT : 13488.5799
	ON THE MAIN SCRREN
		Sat Jul 27 22:39:03 2019

	ON THE ADMIN PORTAL
		Sat Jul 27 22:39:06 2019

	FAILED ATTEMPT IN ADMIN PORTAL
		Sat Jul 27 22:39:24 2019

	ON THE MAIN SCRREN
		Sat Jul 27 22:39:29 2019

	ON THE SECRET SCREEN
		Sat Jul 27 22:39:32 2019

	ON THE MAIN SCRREN
		Sat Jul 27 22:39:37 2019

	ON THE ADMIN PORTAL
		Sat Jul 27 22:39:39 2019

	FAILED ATTEMPT IN ADMIN PORTAL
		Sat Jul 27 22:39:52 2019

	ON THE MAIN SCRREN
		Sat Jul 27 22:39:55 2019

	ON THE SECRET SCREEN
		Sat Jul 27 22:39:58 2019

	ON THE MAIN SCRREN
		Sat Jul 27 22:40:05 2019

	ON THE ADMIN PORTAL
		Sat Jul 27 22:40:06 2019

	FAILED ATTEMPT IN ADMIN PORTAL
		Sat Jul 27 22:40:21 2019

	WENT TO ANSWER A QUESTION
		Sat Jul 27 22:40:23 2019

	ON THE MAIN SCRREN
		Sat Jul 27 22:40:27 2019

	ON THE SECRET SCREEN
		Sat Jul 27 22:40:29 2019

	ON THE MAIN SCRREN
		Sat Jul 27 22:40:37 2019

	ON THE ADMIN PORTAL
		Sat Jul 27 22:40:38 2019

	LOGINED IN THE ADMIN PORTAL
		Sat Jul 27 22:41:06 2019

	ON SECURITY SYSTEM WINDOW 
		Sat Jul 27 22:41:13 2019

	ON HISTORY WINDOW 
		Sat Jul 27 22:41:19 2019

	ON THE MODIFICATION WINDOW
		Sat Jul 27 22:41:34 2019

	ON BANK ACCOUNT WINDOW 
		Sat Jul 27 22:41:40 2019

	DEPOSITED MONEY IN THE ACCOUNT
		Sat Jul 27 22:41:44 2019

	ON BANK ACCOUNT WINDOW 
		Sat Jul 27 22:41:53 2019

	DEPOSITED MONEY IN THE ACCOUNT
		Sat Jul 27 22:41:53 2019

	ON BANK ACCOUNT WINDOW 
		Sat Jul 27 22:41:58 2019

	DEPOSITED MONEY IN THE ACCOUNT
		Sat Jul 27 22:41:58 2019

	ON THE MAIN SCRREN
		Mon Aug 05 23:51:55 2019

	ON THE MAIN SCRREN
		Tue Aug 06 16:52:00 2019

	ON THE ADMIN PORTAL
		Tue Aug 06 16:52:04 2019

	FAILED ATTEMPT IN ADMIN PORTAL
		Tue Aug 06 16:52:21 2019

	ON THE MAIN SCRREN
		Tue Aug 06 16:52:35 2019

	ON THE SECRET SCREEN
		Tue Aug 06 16:52:38 2019

	ON THE MAIN SCRREN
		Tue Aug 06 16:52:58 2019

	IN THE SHOP
		Tue Aug 06 16:53:00 2019

	ON THE MAIN SCRREN
		Tue Aug 06 16:53:08 2019

	SEEN THE ITEMS IN THE SHOP
		Tue Aug 06 16:53:09 2019

	ON THE MAIN SCRREN
		Tue Aug 06 16:53:15 2019

	ON THE MAIN SCRREN
		Thu Jul 23 21:03:35 2020

	SEEN THE ITEMS IN THE SHOP
		Thu Jul 23 21:03:42 2020

	ON THE MAIN SCRREN
		Thu Jul 23 21:03:59 2020

	IN THE SHOP
		Thu Jul 23 21:04:04 2020

	WENT TO PURCHASE ITEM
		Thu Jul 23 21:04:07 2020

	PURCHASED 5 MONITOR
		Thu Jul 23 21:04:16 2020
			DEPOSITED 1168.199951
				NET BALANCE LEFT IN ADMIN ACCOUNT : 2.195843e+58
	ON THE MAIN SCRREN
		Thu Jul 23 21:04:31 2020

	ON THE ADMIN PORTAL
		Thu Jul 23 21:04:36 2020

	FAILED ATTEMPT IN ADMIN PORTAL
		Thu Jul 23 21:05:00 2020

	ON THE MAIN SCRREN
		Thu Jul 23 21:05:02 2020

	ON THE SECRET SCREEN
		Thu Jul 23 21:05:29 2020

	ON THE MAIN SCRREN
		Thu Jul 23 21:05:52 2020

	ON THE ADMIN PORTAL
		Thu Jul 23 21:05:54 2020

	LOGINED IN THE ADMIN PORTAL
		Thu Jul 23 21:06:37 2020

	ON SECURITY SYSTEM WINDOW 
		Thu Jul 23 21:06:46 2020

	ON HISTORY WINDOW 
		Thu Jul 23 21:06:54 2020

	ON MODIFICATION OF FILES WINDOW 
		Thu Jul 23 21:07:33 2020

	ON BANK ACCOUNT WINDOW 
		Thu Jul 23 21:07:44 2020

	ON THE ACCOUNT DETAILS WINDOW
		Thu Jul 23 21:07:48 2020

	ON BANK ACCOUNT WINDOW 
		Thu Jul 23 21:07:53 2020

	DEBITTED MONEY FROM THE ACCOUNT
		Thu Jul 23 21:07:58 2020

	ON BANK ACCOUNT WINDOW 
		Thu Jul 23 21:08:06 2020

	ON TRANSACTION DETAIL WINDOW 
		Thu Jul 23 21:08:11 2020

	ON BANK ACCOUNT WINDOW 
		Thu Jul 23 21:08:23 2020

	ON THE MAIN SCRREN
		Thu Jul 23 21:08:31 2020

	ON THE MAIN SCRREN
		Tue Oct 13 23:50:53 2020

	SEEN THE ITEMS IN THE SHOP
		Tue Oct 13 23:50:57 2020

	ON THE MAIN SCRREN
		Tue Oct 13 23:51:01 2020

	IN THE SHOP
		Tue Oct 13 23:51:04 2020

	WENT TO PURCHASE ITEM
		Tue Oct 13 23:51:06 2020

	ITEM NOT AVAILABLE IN THE SHOP
		Tue Oct 13 23:51:10 2020

	ON THE MAIN SCRREN
		Tue Oct 13 23:51:11 2020

	ON THE ADMIN PORTAL
		Tue Oct 13 23:51:15 2020

	FAILED ATTEMPT IN ADMIN PORTAL
		Tue Oct 13 23:51:32 2020

	ON THE MAIN SCRREN
		Tue Oct 13 23:51:57 2020

	ON THE SECRET SCREEN
		Tue Oct 13 23:52:03 2020

	ON THE MAIN SCRREN
		Tue Oct 13 23:52:12 2020

	ON THE ADMIN PORTAL
		Tue Oct 13 23:52:13 2020

	LOGINED IN THE ADMIN PORTAL
		Tue Oct 13 23:52:53 2020

	ON BANK ACCOUNT WINDOW 
		Tue Oct 13 23:52:56 2020

	ON THE ACCOUNT DETAILS WINDOW
		Tue Oct 13 23:52:58 2020

	ON BANK ACCOUNT WINDOW 
		Tue Oct 13 23:53:17 2020

	DEBITTED MONEY FROM THE ACCOUNT
		Tue Oct 13 23:53:19 2020

	ON BANK ACCOUNT WINDOW 
		Tue Oct 13 23:53:28 2020

	ON THE ACCOUNT DETAILS WINDOW
		Tue Oct 13 23:53:30 2020

	ON BANK ACCOUNT WINDOW 
		Tue Oct 13 23:53:35 2020

	ON TRANSACTION DETAIL WINDOW 
		Tue Oct 13 23:53:38 2020

	ON BANK ACCOUNT WINDOW 
		Tue Oct 13 23:53:46 2020

	ON PROFILE WINDOW 
		Tue Oct 13 23:53:52 2020

	ON ADMIN NAME CHANGE WINDOW 
		Tue Oct 13 23:53:53 2020

	ON PROFILE WINDOW 
		Tue Oct 13 23:54:07 2020

	ON ADMIN NAME CHANGE WINDOW 
		Tue Oct 13 23:54:08 2020

	ON SECURITY SYSTEM WINDOW 
		Tue Oct 13 23:54:22 2020

	ON HISTORY WINDOW 
		Tue Oct 13 23:54:28 2020

	ON MODIFICATION OF FILES WINDOW 
		Tue Oct 13 23:54:50 2020

	ON THE MAIN SCRREN
		Tue Oct 13 23:55:01 2020

	ON THE MAIN SCRREN
		Tue Oct 13 23:55:10 2020

	ON THE MAIN SCRREN
		Sat Oct 17 00:57:53 2020

	SEEN THE ITEMS IN THE SHOP
		Sat Oct 17 00:57:57 2020

	ON THE MAIN SCRREN
		Sat Oct 17 00:58:15 2020

	IN THE SHOP
		Sat Oct 17 00:58:18 2020

	ON THE MAIN SCRREN
		Sat Oct 17 00:58:44 2020

	ON THE ADMIN PORTAL
		Sat Oct 17 00:58:46 2020

	FAILED ATTEMPT IN ADMIN PORTAL
		Sat Oct 17 00:59:00 2020

	ON THE MAIN SCRREN
		Sat Oct 17 00:59:07 2020

	ON THE ADMIN PORTAL
		Sat Oct 17 00:59:08 2020

	FAILED ATTEMPT IN ADMIN PORTAL
		Sat Oct 17 00:59:18 2020

	ON THE MAIN SCRREN
		Sat Oct 17 00:59:19 2020

	ON THE ADMIN PORTAL
		Sat Oct 17 00:59:19 2020

	FAILED ATTEMPT IN ADMIN PORTAL
		Sat Oct 17 00:59:29 2020

	WENT TO ANSWER A QUESTION
		Sat Oct 17 00:59:33 2020

	ON THE MAIN SCRREN
		Sat Oct 17 00:59:38 2020

	ON THE SECRET SCREEN
		Sat Oct 17 00:59:51 2020

	ON THE MAIN SCRREN
		Sat Oct 17 01:00:47 2020

	ON THE ADMIN PORTAL
		Sat Oct 17 01:00:48 2020

	FAILED ATTEMPT IN ADMIN PORTAL
		Sat Oct 17 01:01:24 2020

	ON THE MAIN SCRREN
		Sat Oct 17 01:01:29 2020

	ON THE SECRET SCREEN
		Sat Oct 17 01:01:32 2020

	ON THE MAIN SCRREN
		Sat Oct 17 01:01:36 2020

	ON THE SECRET SCREEN
		Sat Oct 17 01:01:38 2020

	ON THE MAIN SCRREN
		Sat Oct 17 01:01:43 2020

	ON THE MAIN SCRREN
		Fri Nov 06 02:11:07 2020

	ON THE ADMIN PORTAL
		Fri Nov 06 02:11:14 2020

	FAILED ATTEMPT IN ADMIN PORTAL
		Fri Nov 06 02:11:28 2020

	WENT TO ANSWER A QUESTION
		Fri Nov 06 02:11:36 2020

	PASSWORD CHANGED THROUGH QUESTION_ANSWER
		Fri Nov 06 02:11:59 2020

	ON THE MAIN SCRREN
		Fri Nov 06 02:12:00 2020

	ON THE ADMIN PORTAL
		Fri Nov 06 02:12:02 2020

	LOGINED IN THE ADMIN PORTAL
		Fri Nov 06 02:12:28 2020

	ON SECURITY SYSTEM WINDOW 
		Fri Nov 06 02:12:35 2020

	ON HISTORY WINDOW 
		Fri Nov 06 02:12:37 2020

	ON PROFILE WINDOW 
		Fri Nov 06 02:13:03 2020

	ON ADMIN NAME CHANGE WINDOW 
		Fri Nov 06 02:13:05 2020

	ON BANK ACCOUNT WINDOW 
		Fri Nov 06 02:13:21 2020

	ON THE ACCOUNT DETAILS WINDOW
		Fri Nov 06 02:13:25 2020

	ON BANK ACCOUNT WINDOW 
		Fri Nov 06 02:13:31 2020

	DEBITTED MONEY FROM THE ACCOUNT
		Fri Nov 06 02:13:33 2020

	ON BANK ACCOUNT WINDOW 
		Fri Nov 06 02:13:47 2020

	ON THE ACCOUNT DETAILS WINDOW
		Fri Nov 06 02:13:49 2020

	ON BANK ACCOUNT WINDOW 
		Fri Nov 06 02:14:00 2020

	ON TRANSACTION DETAIL WINDOW 
		Fri Nov 06 02:14:05 2020

	ON BANK ACCOUNT WINDOW 
		Fri Nov 06 02:14:12 2020

	ON THE MAIN SCRREN
		Fri Nov 06 02:14:17 2020

	ON THE SECRET SCREEN
		Fri Nov 06 02:14:25 2020

	ON THE MAIN SCRREN
		Fri Nov 06 02:14:47 2020

	SEEN THE ITEMS IN THE SHOP
		Fri Nov 06 02:14:52 2020

	ON THE MAIN SCRREN
		Fri Nov 06 02:15:03 2020

	ON THE MAIN SCRREN
		Fri Nov 13 20:41:46 2020

	ON THE ADMIN PORTAL
		Fri Nov 13 20:41:55 2020

	FAILED ATTEMPT IN ADMIN PORTAL
		Fri Nov 13 20:42:08 2020

	ON THE MAIN SCRREN
		Fri Nov 13 20:42:09 2020

	ON THE SECRET SCREEN
		Fri Nov 13 20:42:13 2020

	ON THE MAIN SCRREN
		Fri Nov 13 20:42:18 2020

	ON THE ADMIN PORTAL
		Fri Nov 13 20:42:19 2020

	FAILED ATTEMPT IN ADMIN PORTAL
		Fri Nov 13 20:42:31 2020

	ON THE MAIN SCRREN
		Fri Nov 13 20:42:32 2020

	ON THE ADMIN PORTAL
		Fri Nov 13 20:42:33 2020

	FAILED ATTEMPT IN ADMIN PORTAL
		Fri Nov 13 20:42:44 2020

	ON THE MAIN SCRREN
		Fri Nov 13 20:42:57 2020

	ON THE SECRET SCREEN
		Fri Nov 13 20:43:00 2020

	ON THE MAIN SCRREN
		Fri Nov 13 20:43:11 2020

	ON THE SECRET SCREEN
		Fri Nov 13 20:43:15 2020

	ON THE MAIN SCRREN
		Fri Nov 13 20:43:29 2020

	ON THE ADMIN PORTAL
		Fri Nov 13 20:43:30 2020

	LOGINED IN THE ADMIN PORTAL
		Fri Nov 13 20:44:48 2020

	ON PROFILE WINDOW 
		Fri Nov 13 20:44:53 2020

	ON ADMIN NAME CHANGE WINDOW 
		Fri Nov 13 20:44:54 2020

	ON SECURITY SYSTEM WINDOW 
		Fri Nov 13 20:45:07 2020

	ON HISTORY WINDOW 
		Fri Nov 13 20:45:10 2020

	ON BANK ACCOUNT WINDOW 
		Fri Nov 13 20:45:21 2020

	ON TRANSACTION DETAIL WINDOW 
		Fri Nov 13 20:45:24 2020

	ON BANK ACCOUNT WINDOW 
		Fri Nov 13 20:45:32 2020

	ON BANK ACCOUNT WINDOW 
		Fri Nov 13 20:45:35 2020

	DEBITTED MONEY FROM THE ACCOUNT
		Fri Nov 13 20:45:38 2020

	ON BANK ACCOUNT WINDOW 
		Fri Nov 13 20:45:45 2020

	ON MODIFICATION OF FILES WINDOW 
		Fri Nov 13 20:45:51 2020

	ON REFRAL FILE WINDOW 
		Fri Nov 13 20:45:56 2020

	ON THE MAIN SCRREN
		Fri Nov 13 20:46:05 2020

	ON THE MAIN SCRREN
		Sun Nov 15 02:34:38 2020

	ON THE MAIN SCRREN
		Wed Mar 17 22:18:11 2021

	SEEN THE ITEMS IN THE SHOP
		Wed Mar 17 22:18:21 2021

	ON THE MAIN SCRREN
		Wed Mar 17 22:18:24 2021

	ON THE ADMIN PORTAL
		Wed Mar 17 22:18:27 2021

	FAILED ATTEMPT IN ADMIN PORTAL
		Wed Mar 17 22:18:45 2021

	ON THE MAIN SCRREN
		Wed Mar 17 22:18:55 2021

	ON THE SECRET SCREEN
		Wed Mar 17 22:18:58 2021

	ON THE MAIN SCRREN
		Wed Mar 17 22:19:17 2021

	ON THE SECRET SCREEN
		Wed Mar 17 22:19:25 2021

	ON THE MAIN SCRREN
		Wed Mar 17 22:20:04 2021

	ON THE ADMIN PORTAL
		Wed Mar 17 22:20:05 2021

	FAILED ATTEMPT IN ADMIN PORTAL
		Wed Mar 17 22:20:30 2021

	ON THE MAIN SCRREN
		Wed Mar 17 22:20:32 2021

	ON THE ADMIN PORTAL
		Wed Mar 17 22:20:33 2021

	LOGINED IN THE ADMIN PORTAL
		Wed Mar 17 22:21:08 2021

	ON SECURITY SYSTEM WINDOW 
		Wed Mar 17 22:21:15 2021

	ON HISTORY WINDOW 
		Wed Mar 17 22:21:18 2021

	ON MODIFICATION OF FILES WINDOW 
		Wed Mar 17 22:21:47 2021

	ON BANK ACCOUNT WINDOW 
		Wed Mar 17 22:21:56 2021

	DEPOSITED MONEY IN THE ACCOUNT
		Wed Mar 17 22:22:02 2021

	ON BANK ACCOUNT WINDOW 
		Wed Mar 17 22:22:09 2021

	ON THE MAIN SCRREN
		Wed Mar 17 22:22:12 2021
